BAY,BAM,BTM ,Gender,Score,AY,AM,ATM,D,ALD
12,9,153,M,15,16,0,192,39,Well
9,5,113,M,6,6,6,78,-35,Severe
14,8,176,M,15,16,0,192,16,Well
11,7,139,M,11,10,0,120,-19,Severe
13,5,161,M,13,12,6,150,-11,Severe
15,8,188,M,8,7,0,84,-104,Severe
18,7,223,M,15,16,0,192,-31,Severe
10,11,131,F,13,12,6,150,19,Well
5,3,63,M,12,11,6,138,75,Well
15,9,189,F,14,14,0,168,-21,Severe
11,2,134,M,9,7,6,90,-44,Severe
14,2,170,M,7,6,6,78,-92,Severe
18,5,221,M,10,8,6,102,-119,Severe
15,4,184,M,15,16,0,192,8,Well
7,10,94,F,12,11,6,138,44,Well
12,2,146,M,10,8,6,102,-44,Severe
8,0,96,M,12,11,6,138,42,Well
12,7,151,F,12,11,6,138,-13,Severe
14,0,168,M,15,16,0,192,24,Well
13,11,167,M,6,6,6,78,-89,Severe
6,3,75,F,11,10,0,120,45,Well
14,4,172,F,12,11,6,138,-34,Severe
17,3,207,M,12,11,6,138,-69,Severe
14,9,177,F,12,11,6,138,-39,Severe
9,9,117,M,14,14,0,168,51,Well
12,7,151,M,8,7,0,84,-67,Severe
6,1,73,F,13,12,6,150,77,Well
9,5,113,F,10,8,6,102,-11,Severe
14,6,174,F,7,6,6,78,-96,Severe
13,3,159,F,15,16,0,192,33,Well
7,10,94,M,12,11,6,138,44,Well
7,10,94,F,10,8,6,102,8,Well
7,6,90,F,14,14,0,168,78,Well
12,7,151,M,7,6,6,78,-73,Severe
18,6,222,F,9,7,6,90,-132,Severe
16,4,196,F,12,11,6,138,-58,Severe
7,8,92,M,13,12,6,150,58,Well
10,11,131,F,10,8,6,102,-29,Severe
17,10,214,M,8,7,0,84,-130,Severe
8,7,103,F,6,6,6,78,-25,Severe
13,4,160,M,9,7,6,90,-70,Severe
18,10,226,M,9,7,6,90,-136,Severe
7,6,90,M,11,10,0,120,30,Well
5,11,71,F,8,7,0,84,13,Well
14,7,175,M,9,7,6,90,-85,Severe
9,8,116,F,10,8,6,102,-14,Severe
17,6,210,F,11,10,0,120,-90,Severe
8,6,102,F,9,7,6,90,-12,Severe
13,6,162,M,11,10,0,120,-42,Severe
11,6,138,F,10,8,6,102,-36,Severe
12,1,145,M,11,10,0,120,-25,Severe
12,6,150,F,14,14,0,168,18,Well
14,6,174,M,14,14,0,168,-6,Severe
9,3,111,F,14,14,0,168,57,Well
9,9,117,M,8,7,0,84,-33,Severe
7,0,84,F,13,12,6,150,66,Well
18,6,222,M,7,6,6,78,-144,Severe
10,6,126,F,15,16,0,192,66,Well
18,2,218,M,15,16,0,192,-26,Severe
14,8,176,F,13,12,6,150,-26,Severe
7,4,88,F,10,8,6,102,14,Well
5,11,71,M,11,10,0,120,49,Well
14,1,169,F,10,8,6,102,-67,Severe
15,1,181,M,11,10,0,120,-61,Severe
10,7,127,M,14,14,0,168,41,Well
6,3,75,F,9,7,6,90,15,Well
15,0,180,F,11,10,0,120,-60,Severe
10,0,120,F,10,8,6,102,-18,Severe
13,1,157,M,9,7,6,90,-67,Severe
14,3,171,F,14,14,0,168,-3,Mild
6,10,82,F,14,14,0,168,86,Well
12,0,144,M,10,8,6,102,-42,Severe
17,9,213,F,13,12,6,150,-63,Severe
13,0,156,F,7,6,6,78,-78,Severe
13,4,160,M,12,11,6,138,-22,Severe
17,8,212,M,9,7,6,90,-122,Severe
10,4,124,F,13,12,6,150,26,Well
9,0,108,F,14,14,0,168,60,Well
18,8,224,F,11,10,0,120,-104,Severe
13,2,158,F,8,7,0,84,-74,Severe
12,11,155,M,12,11,6,138,-17,Severe
16,4,196,M,14,14,0,168,-28,Severe
15,7,187,M,9,7,6,90,-97,Severe
7,3,87,F,14,14,0,168,81,Well
11,8,140,M,8,7,0,84,-56,Severe
8,9,105,F,7,6,6,78,-27,Severe
16,11,203,F,10,8,6,102,-101,Severe
9,1,109,M,6,6,6,78,-31,Severe
8,3,99,M,6,6,6,78,-21,Severe
9,0,108,M,15,16,0,192,84,Well
8,3,99,F,15,16,0,192,93,Well
18,5,221,F,12,11,6,138,-83,Severe
18,1,217,M,10,8,6,102,-115,Severe
17,6,210,M,11,10,0,120,-90,Severe
9,11,119,M,15,16,0,192,73,Well
12,3,147,M,6,6,6,78,-69,Severe
12,10,154,F,14,14,0,168,14,Well
18,9,225,F,7,6,6,78,-147,Severe
5,7,67,M,11,10,0,120,53,Well
12,9,153,F,15,16,0,192,39,Well
7,5,89,M,9,7,6,90,1,Good
9,2,110,M,14,14,0,168,58,Well
11,9,141,M,8,7,0,84,-57,Severe
10,9,129,F,6,6,6,78,-51,Severe
18,3,219,M,8,7,0,84,-135,Severe
12,4,148,M,8,7,0,84,-64,Severe
7,9,93,F,8,7,0,84,-9,Severe
11,5,137,M,6,6,6,78,-59,Severe
7,4,88,M,8,7,0,84,-4,Mild
9,6,114,F,7,6,6,78,-36,Severe
8,8,104,M,10,8,6,102,-2,Mild
15,5,185,F,8,7,0,84,-101,Severe
10,3,123,F,9,7,6,90,-33,Severe
8,10,106,F,9,7,6,90,-16,Severe
11,1,133,F,11,10,0,120,-13,Severe
15,11,191,F,13,12,6,150,-41,Severe
7,8,92,M,10,8,6,102,10,Well
8,9,105,F,6,6,6,78,-27,Severe
6,5,77,M,11,10,0,120,43,Well
7,2,86,M,7,6,6,78,-8,Severe
9,3,111,M,14,14,0,168,57,Well
16,9,201,F,13,12,6,150,-51,Severe
7,3,87,M,15,16,0,192,105,Well
14,8,176,F,7,6,6,78,-98,Severe
15,4,184,M,10,8,6,102,-82,Severe
6,11,83,M,13,12,6,150,67,Well
14,11,179,F,6,6,6,78,-101,Severe
12,10,154,F,13,12,6,150,-4,Mild
16,3,195,F,14,14,0,168,-27,Severe
13,10,166,M,11,10,0,120,-46,Severe
11,0,132,M,9,7,6,90,-42,Severe
7,8,92,F,14,14,0,168,76,Well
16,2,194,F,15,16,0,192,-2,Mild
18,2,218,M,12,11,6,138,-80,Severe
18,4,220,M,15,16,0,192,-28,Severe
8,4,100,M,13,12,6,150,50,Well
11,2,134,F,7,6,6,78,-56,Severe
15,5,185,M,11,10,0,120,-65,Severe
15,7,187,M,13,12,6,150,-37,Severe
6,8,80,M,15,16,0,192,112,Well
13,9,165,F,10,8,6,102,-63,Severe
14,8,176,M,11,10,0,120,-56,Severe
5,7,67,M,6,6,6,78,11,Well
18,2,218,M,10,8,6,102,-116,Severe
6,9,81,F,7,6,6,78,-3,Mild
7,1,85,M,7,6,6,78,-7,Severe
8,4,100,F,9,7,6,90,-10,Severe
12,9,153,M,6,6,6,78,-75,Severe
5,5,65,F,14,14,0,168,103,Well
5,2,62,M,9,7,6,90,28,Well
9,6,114,M,11,10,0,120,6,Well
14,11,179,F,10,8,6,102,-77,Severe
5,1,61,F,14,14,0,168,107,Well
5,6,66,M,9,7,6,90,24,Well
11,8,140,F,12,11,6,138,-2,Mild
13,8,164,M,8,7,0,84,-80,Severe
6,6,78,M,10,8,6,102,24,Well
16,0,192,F,7,6,6,78,-114,Severe
16,2,194,M,12,11,6,138,-56,Severe
9,8,116,M,11,10,0,120,4,Good
5,7,67,F,8,7,0,84,17,Well
7,2,86,M,14,14,0,168,82,Well
18,5,221,M,7,6,6,78,-143,Severe
16,5,197,F,12,11,6,138,-59,Severe
12,9,153,F,6,6,6,78,-75,Severe
16,1,193,M,14,14,0,168,-25,Severe
14,9,177,M,12,11,6,138,-39,Severe
12,0,144,F,9,7,6,90,-54,Severe
16,7,199,M,7,6,6,78,-121,Severe
9,9,117,F,14,14,0,168,51,Well
10,3,123,M,9,7,6,90,-33,Severe
8,8,104,M,7,6,6,78,-26,Severe
5,10,70,M,15,16,0,192,122,Well
5,5,65,F,6,6,6,78,13,Well
6,11,83,F,15,16,0,192,109,Well
9,4,112,F,7,6,6,78,-34,Severe
6,0,72,M,11,10,0,120,48,Well
6,2,74,F,11,10,0,120,46,Well
7,8,92,M,12,11,6,138,46,Well
18,6,222,F,12,11,6,138,-84,Severe
12,1,145,M,6,6,6,78,-67,Severe
11,6,138,F,15,16,0,192,54,Well
8,6,102,M,6,6,6,78,-24,Severe
16,8,200,M,11,10,0,120,-80,Severe
13,8,164,M,7,6,6,78,-86,Severe
16,6,198,F,10,8,6,102,-96,Severe
16,11,203,F,6,6,6,78,-125,Severe
11,11,143,M,11,10,0,120,-23,Severe
17,8,212,F,6,6,6,78,-134,Severe
15,6,186,M,15,16,0,192,6,Well
15,9,189,F,9,7,6,90,-99,Severe
18,5,221,M,12,11,6,138,-83,Severe
12,1,145,F,9,7,6,90,-55,Severe
10,6,126,F,8,7,0,84,-42,Severe
9,8,116,F,9,7,6,90,-26,Severe
14,1,169,F,8,7,0,84,-85,Severe
13,1,157,F,8,7,0,84,-73,Severe
18,4,220,M,6,6,6,78,-142,Severe
15,4,184,M,13,12,6,150,-34,Severe
6,4,76,F,8,7,0,84,8,Well
8,4,100,F,10,8,6,102,2,Good
17,1,205,F,13,12,6,150,-55,Severe
13,7,163,F,13,12,6,150,-13,Severe
8,4,100,M,15,16,0,192,92,Well
13,10,166,F,6,6,6,78,-88,Severe
10,4,124,F,6,6,6,78,-46,Severe
9,9,117,F,8,7,0,84,-33,Severe
11,4,136,F,6,6,6,78,-58,Severe
15,1,181,F,11,10,0,120,-61,Severe
12,3,147,M,15,16,0,192,45,Well
16,2,194,M,14,14,0,168,-26,Severe
17,7,211,M,11,10,0,120,-91,Severe
14,11,179,M,9,7,6,90,-89,Severe
8,9,105,M,15,16,0,192,87,Well
5,3,63,M,7,6,6,78,15,Well
16,11,203,F,7,6,6,78,-125,Severe
8,2,98,M,12,11,6,138,40,Well
13,10,166,F,8,7,0,84,-82,Severe
9,9,117,M,7,6,6,78,-39,Severe
15,3,183,M,12,11,6,138,-45,Severe
12,2,146,M,11,10,0,120,-26,Severe
13,9,165,F,7,6,6,78,-87,Severe
7,9,93,F,12,11,6,138,45,Well
13,8,164,F,9,7,6,90,-74,Severe
5,1,61,F,6,6,6,78,17,Well
16,10,202,F,9,7,6,90,-112,Severe
18,0,216,F,7,6,6,78,-138,Severe
7,8,92,M,15,16,0,192,100,Well
10,3,123,M,6,6,6,78,-45,Severe
10,7,127,M,15,16,0,192,65,Well
16,0,192,F,10,8,6,102,-90,Severe
10,9,129,F,8,7,0,84,-45,Severe
10,6,126,F,9,7,6,90,-36,Severe
15,1,181,F,9,7,6,90,-91,Severe
13,1,157,M,12,11,6,138,-19,Severe
5,9,69,F,7,6,6,78,9,Well
12,0,144,F,7,6,6,78,-66,Severe
10,3,123,F,15,16,0,192,69,Well
14,0,168,M,13,12,6,150,-18,Severe
12,3,147,F,15,16,0,192,45,Well
13,7,163,F,11,10,0,120,-43,Severe
14,10,178,F,14,14,0,168,-10,Severe
17,10,214,M,6,6,6,78,-136,Severe
18,11,227,M,7,6,6,78,-149,Severe
17,7,211,F,7,6,6,78,-133,Severe
7,7,91,F,8,7,0,84,-7,Severe
5,7,67,F,13,12,6,150,83,Well
10,8,128,F,13,12,6,150,22,Well
5,2,62,F,13,12,6,150,88,Well
9,5,113,F,6,6,6,78,-35,Severe
7,3,87,M,11,10,0,120,33,Well
9,6,114,M,15,16,0,192,78,Well
8,3,99,F,12,11,6,138,39,Well
14,7,175,F,9,7,6,90,-85,Severe
8,2,98,F,10,8,6,102,4,Good
11,3,135,F,8,7,0,84,-51,Severe
13,7,163,F,15,16,0,192,29,Well
15,11,191,M,8,7,0,84,-107,Severe
7,2,86,M,6,6,6,78,-8,Severe
7,1,85,F,13,12,6,150,65,Well
11,11,143,M,15,16,0,192,49,Well
7,5,89,M,15,16,0,192,103,Well
9,11,119,M,14,14,0,168,49,Well
16,0,192,M,10,8,6,102,-90,Severe
10,9,129,M,7,6,6,78,-51,Severe
15,3,183,F,11,10,0,120,-63,Severe
18,0,216,M,6,6,6,78,-138,Severe
16,8,200,F,11,10,0,120,-80,Severe
10,5,125,F,8,7,0,84,-41,Severe
9,7,115,M,14,14,0,168,53,Well
14,1,169,M,10,8,6,102,-67,Severe
18,2,218,M,13,12,6,150,-68,Severe
5,6,66,F,9,7,6,90,24,Well
14,2,170,M,9,7,6,90,-80,Severe
12,9,153,M,8,7,0,84,-69,Severe
5,4,64,M,15,16,0,192,128,Well
6,2,74,M,6,6,6,78,4,Good
9,2,110,M,10,8,6,102,-8,Severe
6,11,83,M,15,16,0,192,109,Well
16,4,196,M,8,7,0,84,-112,Severe
6,4,76,M,6,6,6,78,2,Good
10,11,131,M,7,6,6,78,-53,Severe
10,10,130,F,9,7,6,90,-40,Severe
