BAY,BAM,BTM,Gender,Score,RAY,RAM,RTM,D,RLD
9,8,116,M,27,6,7,79,-37,Severe
8,3,99,M,53,8,6,102,3,Good
5,5,65,F,24,6,5,77,12,Well
7,4,88,F,69,10,1,121,33,Well
9,8,116,F,25,6,5,77,-39,Severe
12,6,150,F,13,5,9,69,-81,Severe
15,9,189,M,43,7,8,92,-97,Severe
7,11,95,F,3,5,3,63,-32,Severe
5,3,63,M,32,6,10,82,19,Well
16,11,203,F,28,6,8,80,-123,Severe
17,10,214,F,9,5,7,67,-147,Severe
14,6,174,F,90,12,3,147,-27,Severe
8,4,100,M,7,5,6,66,-34,Severe
10,8,128,F,10,5,7,67,-61,Severe
10,2,122,F,56,8,9,105,-17,Severe
15,5,185,M,59,9,1,109,-76,Severe
17,3,207,M,104,13,7,163,-44,Severe
17,11,215,M,93,12,6,150,-65,Severe
6,1,73,F,63,9,6,114,41,Well
12,4,148,F,72,10,4,124,-24,Severe
16,1,193,F,73,10,6,126,-67,Severe
15,3,183,M,49,8,2,98,-85,Severe
18,10,226,F,90,12,3,147,-79,Severe
15,8,188,M,71,10,3,123,-65,Severe
6,3,75,M,91,12,4,148,73,Well
10,9,129,F,36,7,2,86,-43,Severe
14,3,171,M,103,13,6,162,-9,Severe
5,5,65,M,41,7,6,90,25,Well
17,8,212,M,16,5,11,71,-141,Severe
6,3,75,F,23,6,4,76,1,Good
17,7,211,M,43,7,8,92,-119,Severe
9,2,110,M,46,7,11,95,-15,Severe
18,3,219,M,9,5,7,67,-152,Severe
7,2,86,M,68,10,0,120,34,Well
15,6,186,F,9,5,7,67,-119,Severe
11,11,143,M,95,12,9,153,10,Well
9,9,117,M,108,14,0,168,51,Well
6,2,74,F,75,10,9,129,55,Well
9,5,113,M,71,10,3,123,10,Well
13,9,165,M,108,14,0,168,3,Good
9,4,112,F,18,6,1,73,-39,Severe
9,9,117,F,92,12,5,149,32,Well
16,0,192,F,109,14,1,169,-23,Severe
11,11,143,F,109,14,1,169,26,Well
10,3,123,F,18,6,1,73,-50,Severe
16,8,200,F,66,9,9,117,-83,Severe
11,6,138,F,32,6,10,82,-56,Severe
16,3,195,M,87,11,11,143,-52,Severe
18,9,225,M,51,8,4,100,-125,Severe
8,9,105,M,57,8,10,106,1,Good
12,8,152,F,36,7,2,86,-66,Severe
11,0,132,M,61,9,3,111,-21,Severe
14,1,169,M,78,11,0,132,-37,Severe
8,6,102,M,106,13,10,166,64,Well
13,5,161,M,79,11,1,133,-28,Severe
9,9,117,M,78,11,0,132,15,Well
5,3,63,F,62,9,4,112,49,Well
15,0,180,M,11,5,8,68,-112,Severe
9,7,115,M,102,13,6,162,47,Well
12,7,151,F,80,11,3,135,-16,Severe
17,4,208,M,92,12,5,149,-59,Severe
18,5,221,F,52,8,5,101,-120,Severe
10,2,122,M,36,7,2,86,-36,Severe
16,8,200,M,28,6,8,80,-120,Severe
8,11,107,F,50,8,3,99,-8,Severe
5,7,67,M,37,7,3,87,20,Well
18,11,227,M,110,14,3,171,-56,Severe
13,1,157,M,36,7,2,86,-71,Severe
16,1,193,M,35,7,1,85,-108,Severe
14,4,172,F,62,9,4,112,-60,Severe
12,3,147,M,78,11,0,132,-15,Severe
6,10,82,M,55,8,8,104,22,Well
12,2,146,M,32,6,10,82,-64,Severe
12,9,153,M,50,8,3,99,-54,Severe
11,4,136,M,15,5,11,71,-65,Severe
8,0,96,F,90,12,3,147,51,Well
8,7,103,M,100,13,3,159,56,Well
16,5,197,F,43,7,8,92,-105,Severe
18,3,219,M,60,9,2,110,-109,Severe
11,5,137,F,60,9,2,110,-27,Severe
7,4,88,F,103,13,6,162,74,Well
7,0,84,F,39,7,5,89,5,Good
5,8,68,F,13,5,9,69,1,Good
12,6,150,M,39,7,5,89,-61,Severe
10,10,130,F,67,9,10,118,-12,Severe
6,4,76,M,40,7,5,89,13,Well
6,4,76,M,60,9,2,110,34,Well
7,0,84,M,22,6,3,75,-9,Severe
7,5,89,M,39,7,5,89,0,Neutral
14,3,171,F,89,12,1,145,-26,Severe
16,10,202,M,37,7,3,87,-115,Severe
9,11,119,F,72,10,4,124,5,Good
17,6,210,M,4,5,4,64,-146,Severe
15,3,183,M,72,10,4,124,-59,Severe
11,7,139,F,97,12,11,155,16,Well
18,3,219,F,98,13,0,156,-63,Severe
9,6,114,M,69,10,1,121,7,Well
16,8,200,F,7,5,6,66,-134,Severe
9,0,108,F,65,9,8,116,8,Well
17,10,214,M,47,8,0,96,-118,Severe
12,9,153,M,14,5,10,70,-83,Severe
11,11,143,M,104,13,7,163,20,Well
10,2,122,M,56,8,9,105,-17,Severe
8,8,104,M,63,9,6,114,10,Well
9,3,111,F,110,14,3,171,60,Well
11,4,136,F,31,6,9,81,-55,Severe
16,6,198,F,46,7,11,95,-103,Severe
12,2,146,F,45,7,10,94,-52,Severe
8,5,101,F,57,8,10,106,5,Good
9,7,115,F,83,11,6,138,23,Well
5,5,65,F,104,13,7,163,98,Well
12,7,151,M,3,5,3,63,-88,Severe
15,3,183,F,67,9,10,118,-65,Severe
9,2,110,F,93,12,6,150,40,Well
17,10,214,F,28,6,8,80,-134,Severe
13,6,162,F,77,10,11,131,-31,Severe
11,2,134,F,41,7,6,90,-44,Severe
13,0,156,F,68,10,0,120,-36,Severe
17,6,210,M,36,7,2,86,-124,Severe
13,9,165,M,18,6,1,73,-92,Severe
11,7,139,M,100,13,3,159,20,Well
16,3,195,F,105,13,9,165,-30,Severe
10,3,123,M,15,5,11,71,-52,Severe
12,5,149,M,102,13,6,162,13,Well
16,8,200,M,46,7,11,95,-105,Severe
15,1,181,F,50,8,3,99,-82,Severe
7,11,95,F,41,7,6,90,-5,Mild
13,4,160,M,4,5,4,64,-96,Severe
6,7,79,F,68,10,0,120,41,Well
13,6,162,F,47,8,0,96,-66,Severe
18,10,226,M,13,5,9,69,-157,Severe
12,2,146,M,7,5,6,66,-80,Severe
10,10,130,F,62,9,4,112,-18,Severe
16,3,195,F,106,13,10,166,-29,Severe
8,8,104,M,64,9,7,115,11,Well
8,2,98,F,56,8,9,105,7,Well
5,11,71,F,7,5,6,66,-5,Mild
14,4,172,M,29,6,8,80,-92,Severe
17,3,207,M,43,7,8,92,-115,Severe
6,0,72,M,60,9,2,110,38,Well
7,3,87,M,95,12,9,153,66,Well
17,7,211,F,5,5,5,65,-146,Severe
14,5,173,M,81,11,4,136,-37,Severe
6,4,76,M,49,8,2,98,22,Well
17,10,214,F,46,7,11,95,-119,Severe
18,8,224,M,43,7,8,92,-132,Severe
16,4,196,F,103,13,6,162,-34,Severe
10,3,123,M,16,5,11,71,-52,Severe
6,0,72,M,5,5,5,65,-7,Severe
15,8,188,F,9,5,7,67,-121,Severe
11,6,138,F,52,8,5,101,-37,Severe
12,7,151,M,4,5,4,64,-87,Severe
16,11,203,F,101,13,4,160,-43,Severe
7,9,93,M,76,10,10,130,37,Well
16,1,193,M,44,7,9,93,-100,Severe
17,4,208,M,4,5,4,64,-144,Severe
7,3,87,F,110,14,3,171,84,Well
13,0,156,F,70,10,2,122,-34,Severe
12,9,153,M,5,5,5,65,-88,Severe
16,9,201,F,71,10,3,123,-78,Severe
15,6,186,M,29,6,8,80,-106,Severe
6,11,83,F,11,5,8,68,-15,Severe
18,4,220,F,36,7,2,86,-134,Severe
5,3,63,F,84,11,7,139,76,Well
7,0,84,F,102,13,6,162,78,Well
5,3,63,M,4,5,4,64,1,Good
9,1,109,M,108,14,0,168,59,Well
13,9,165,F,100,13,3,159,-6,Severe
6,3,75,M,25,6,5,77,2,Good
17,3,207,F,27,6,7,79,-128,Severe
8,7,103,M,3,5,3,63,-40,Severe
5,10,70,M,32,6,10,82,12,Well
10,9,129,F,3,5,3,63,-66,Severe
9,10,118,M,82,11,5,137,19,Well
13,7,163,F,23,6,4,76,-87,Severe
11,10,142,M,51,8,4,100,-42,Severe
14,1,169,F,79,11,1,133,-36,Severe
14,2,170,M,32,6,10,82,-88,Severe
14,5,173,F,34,7,0,84,-89,Severe
12,3,147,F,60,9,2,110,-37,Severe
10,8,128,F,106,13,10,166,38,Well
10,2,122,F,99,13,1,157,35,Well
8,7,103,F,103,13,6,162,59,Well
7,3,87,F,80,11,3,135,48,Well
13,11,167,F,7,5,6,66,-101,Severe
16,0,192,F,47,8,0,96,-96,Severe
9,6,114,F,105,13,9,165,51,Well
13,0,156,F,99,13,1,157,1,Good
6,10,82,F,25,6,5,77,-5,Mild
12,10,154,M,103,13,6,162,8,Well
6,8,80,M,62,9,4,112,32,Well
16,1,193,M,19,6,1,73,-120,Severe
10,4,124,M,19,6,1,73,-51,Severe
6,8,80,M,107,13,11,167,87,Well
8,5,101,M,94,12,7,151,50,Well
14,2,170,F,92,12,5,149,-21,Severe
7,3,87,M,98,13,0,156,69,Well
17,10,214,F,91,12,4,148,-66,Severe
6,1,73,M,14,5,10,70,-3,Mild
6,3,75,F,64,9,7,115,40,Well
10,1,121,M,9,5,7,67,-54,Severe
7,8,92,M,93,12,6,150,58,Well
10,1,121,F,65,9,8,116,-5,Mild
11,11,143,F,108,14,0,168,25,Well
13,10,166,M,62,9,4,112,-54,Severe
11,11,143,M,60,9,2,110,-33,Severe
18,4,220,F,105,13,9,165,-55,Severe
9,8,116,M,19,6,1,73,-43,Severe
12,0,144,F,4,5,4,64,-80,Severe
18,2,218,M,83,11,6,138,-80,Severe
7,9,93,M,26,6,6,78,-15,Severe
10,9,129,M,29,6,8,80,-49,Severe
6,10,82,F,45,7,10,94,12,Well
13,6,162,F,91,12,4,148,-14,Severe
18,10,226,M,79,11,1,133,-93,Severe
11,9,141,F,33,6,11,83,-58,Severe
8,7,103,M,16,5,11,71,-32,Severe
12,2,146,M,19,6,1,73,-73,Severe
9,3,111,F,104,13,7,163,52,Well
7,3,87,F,24,6,5,77,-10,Severe
6,4,76,F,27,6,7,79,3,Good
15,6,186,F,21,6,2,74,-112,Severe
13,1,157,M,26,6,6,78,-79,Severe
7,3,87,M,68,10,0,120,33,Well
13,8,164,M,108,14,0,168,4,Good
6,8,80,F,9,5,7,67,-13,Severe
9,2,110,F,11,5,8,68,-42,Severe
18,11,227,M,103,13,6,162,-65,Severe
13,1,157,M,28,6,8,80,-77,Severe
9,7,115,M,55,8,8,104,-11,Severe
10,1,121,F,102,13,6,162,41,Well
14,3,171,M,109,14,1,169,-2,Mild
12,7,151,M,66,9,9,117,-34,Severe
11,0,132,F,77,10,11,131,-1,Mild
16,1,193,M,20,6,2,74,-119,Severe
7,8,92,M,53,8,6,102,10,Well
16,0,192,M,95,12,9,153,-39,Severe
14,11,179,F,49,8,2,98,-81,Severe
15,3,183,M,79,11,1,133,-50,Severe
13,7,163,F,30,6,9,81,-82,Severe
14,3,171,M,24,6,5,77,-94,Severe
11,6,138,M,46,7,11,95,-43,Severe
7,1,85,F,103,13,6,162,77,Well
16,0,192,M,43,7,8,92,-100,Severe
7,6,90,F,3,5,3,63,-27,Severe
8,5,101,M,82,11,5,137,36,Well
14,9,177,M,53,8,6,102,-75,Severe
13,4,160,F,82,11,5,137,-23,Severe
13,1,157,F,103,13,6,162,5,Good
16,3,195,F,71,10,3,123,-72,Severe
8,9,105,F,52,8,5,101,-4,Mild
18,4,220,M,74,10,7,127,-93,Severe
18,8,224,M,71,10,3,123,-101,Severe
16,10,202,M,67,9,10,118,-84,Severe
9,2,110,M,72,10,4,124,14,Well
14,2,170,M,80,11,3,135,-35,Severe
5,1,61,F,87,11,11,143,82,Well
12,4,148,M,92,12,5,149,1,Good
14,7,175,F,33,6,11,83,-92,Severe
11,4,136,M,80,11,3,135,-1,Mild
7,7,91,M,6,5,5,65,-26,Severe
14,3,171,F,75,10,9,129,-42,Severe
12,0,144,M,88,12,0,144,0,Neutral
5,8,68,F,29,6,8,80,12,Well
7,4,88,F,22,6,3,75,-13,Severe
13,1,157,M,83,11,6,138,-19,Severe
15,11,191,M,5,5,5,65,-126,Severe
6,3,75,F,13,5,9,69,-6,Severe
7,2,86,F,10,5,7,67,-19,Severe
16,3,195,M,67,9,10,118,-77,Severe
17,6,210,F,7,5,6,66,-144,Severe
7,5,89,M,83,11,6,138,49,Well
8,3,99,F,99,13,1,157,58,Well
10,11,131,M,4,5,4,64,-67,Severe
17,10,214,F,64,9,7,115,-99,Severe
8,1,97,M,104,13,7,163,66,Well
7,3,87,M,100,13,3,159,72,Well
16,7,199,F,57,8,10,106,-93,Severe
7,9,93,F,30,6,9,81,-12,Severe
13,0,156,F,57,8,10,106,-50,Severe
11,3,135,M,8,5,6,66,-69,Severe
14,1,169,M,110,14,3,171,2,Good
17,8,212,F,78,11,0,132,-80,Severe
18,2,218,F,59,9,1,109,-109,Severe
16,8,200,F,79,11,1,133,-67,Severe
8,7,103,M,49,8,2,98,-5,Mild
8,3,99,M,90,12,3,147,48,Well
16,5,197,F,15,5,11,71,-126,Severe
13,8,164,F,46,7,11,95,-69,Severe
10,9,129,F,27,6,7,79,-50,Severe
10,10,130,M,3,5,3,63,-67,Severe
18,3,219,M,17,6,0,72,-147,Severe
15,5,185,F,58,9,0,108,-77,Severe
5,0,60,F,50,8,3,99,39,Well
11,0,132,F,68,10,0,120,-12,Severe
16,2,194,M,4,5,4,64,-130,Severe
9,0,108,M,28,6,8,80,-28,Severe
17,5,209,F,12,5,9,69,-140,Severe
7,3,87,M,56,8,9,105,18,Well
11,2,134,F,13,5,9,69,-65,Severe
15,6,186,F,68,10,0,120,-66,Severe
14,3,171,F,59,9,1,109,-62,Severe
9,0,108,F,104,13,7,163,55,Well
18,3,219,M,8,5,6,66,-153,Severe
15,11,191,M,85,11,9,141,-50,Severe
10,4,124,M,82,11,5,137,13,Well
16,1,193,F,40,7,5,89,-104,Severe
9,4,112,F,8,5,6,66,-46,Severe
14,0,168,F,49,8,2,98,-70,Severe
9,2,110,M,81,11,4,136,26,Well
12,9,153,F,101,13,4,160,7,Well
17,9,213,M,46,7,11,95,-118,Severe
9,2,110,F,49,8,2,98,-12,Severe
14,3,171,F,54,8,7,103,-68,Severe
7,6,90,M,90,12,3,147,57,Well
12,5,149,M,35,7,1,85,-64,Severe
14,4,172,F,56,8,9,105,-67,Severe
5,0,60,F,97,12,11,155,95,Well
10,10,130,M,24,6,5,77,-53,Severe
15,3,183,F,58,9,0,108,-75,Severe
9,4,112,M,92,12,5,149,37,Well
17,3,207,M,31,6,9,81,-126,Severe
18,0,216,M,70,10,2,122,-94,Severe
10,9,129,M,68,10,0,120,-9,Severe
17,11,215,M,9,5,7,67,-148,Severe
14,8,176,F,99,13,1,157,-19,Severe
18,10,226,M,52,8,5,101,-125,Severe
5,9,69,F,110,14,3,171,102,Well
9,2,110,F,84,11,7,139,29,Well
10,7,127,M,102,13,6,162,35,Well
6,3,75,F,61,9,3,111,36,Well
12,7,151,M,19,6,1,73,-78,Severe
8,7,103,F,91,12,4,148,45,Well
14,3,171,M,7,5,6,66,-105,Severe
6,10,82,M,68,10,0,120,38,Well
7,3,87,F,48,8,1,97,10,Well
15,5,185,M,103,13,6,162,-23,Severe
6,2,74,M,18,6,1,73,-1,Mild
17,8,212,F,43,7,8,92,-120,Severe
13,10,166,M,8,5,6,66,-100,Severe
11,4,136,F,14,5,10,70,-66,Severe
9,7,115,M,15,5,11,71,-44,Severe
18,7,223,F,3,5,3,63,-160,Severe
14,4,172,M,54,8,7,103,-69,Severe
18,0,216,M,102,13,6,162,-54,Severe
6,3,75,F,14,5,10,70,-5,Mild
8,6,102,F,88,12,0,144,42,Well
16,2,194,F,107,13,11,167,-27,Severe
16,9,201,M,93,12,6,150,-51,Severe
5,4,64,M,95,12,9,153,89,Well
11,3,135,M,9,5,7,67,-68,Severe
15,11,191,F,18,6,1,73,-118,Severe
16,7,199,M,5,5,5,65,-134,Severe
13,7,163,M,4,5,4,64,-99,Severe
13,8,164,M,64,9,7,115,-49,Severe
13,10,166,F,2,5,3,63,-103,Severe
14,7,175,M,82,11,5,137,-38,Severe
6,7,79,M,3,5,3,63,-16,Severe
15,1,181,M,88,12,0,144,-37,Severe
8,9,105,F,31,6,9,81,-24,Severe
7,2,86,M,71,10,3,123,37,Well
12,1,145,F,51,8,4,100,-45,Severe
13,2,158,F,71,10,3,123,-35,Severe
9,3,111,F,16,5,11,71,-40,Severe
11,1,133,M,93,12,6,150,17,Well
14,9,177,F,95,12,9,153,-24,Severe
18,2,218,F,40,7,5,89,-129,Severe
18,10,226,F,104,13,7,163,-63,Severe
14,1,169,F,95,12,9,153,-16,Severe
7,0,84,F,60,9,2,110,26,Well
13,3,159,M,73,10,6,126,-33,Severe
14,2,170,M,11,5,8,68,-102,Severe
13,10,166,M,13,5,9,69,-97,Severe
11,3,135,M,47,8,0,96,-39,Severe
10,3,123,F,91,12,4,148,25,Well
17,3,207,M,97,12,11,155,-52,Severe
9,1,109,F,30,6,9,81,-28,Severe
15,8,188,F,54,8,7,103,-85,Severe
5,6,66,F,28,6,8,80,14,Well
13,7,163,F,40,7,5,89,-74,Severe
12,11,155,M,72,10,4,124,-31,Severe
18,3,219,F,2,5,3,63,-156,Severe
11,9,141,F,7,5,6,66,-75,Severe
9,6,114,F,56,8,9,105,-9,Severe
13,3,159,M,88,12,0,144,-15,Severe
14,1,169,F,30,6,9,81,-88,Severe
11,9,141,M,64,9,7,115,-26,Severe
17,9,213,M,17,6,0,72,-141,Severe
7,8,92,M,7,5,6,66,-26,Severe
12,2,146,M,105,13,9,165,19,Well
6,8,80,M,70,10,2,122,42,Well
6,3,75,F,97,12,11,155,80,Well
17,5,209,F,44,7,9,93,-116,Severe
7,7,91,F,32,6,10,82,-9,Severe
17,6,210,F,74,10,7,127,-83,Severe
12,2,146,F,100,13,3,159,13,Well
16,3,195,M,47,8,0,96,-99,Severe
18,9,225,M,53,8,6,102,-123,Severe
17,7,211,M,49,8,2,98,-113,Severe
10,6,126,F,46,7,11,95,-31,Severe
12,11,155,F,75,10,9,129,-26,Severe
11,6,138,F,10,5,7,67,-71,Severe
11,2,134,F,87,11,11,143,9,Well
6,5,77,M,73,10,6,126,49,Well
8,1,97,F,91,12,4,148,51,Well
7,3,87,F,17,6,0,72,-15,Severe
14,10,178,F,17,6,0,72,-106,Severe
12,2,146,F,29,6,8,80,-66,Severe
12,3,147,M,102,13,6,162,15,Well
5,2,62,M,99,13,1,157,95,Well
5,9,69,M,21,6,2,74,5,Good
13,5,161,M,40,7,5,89,-72,Severe
10,1,121,F,79,11,1,133,12,Well
11,9,141,F,78,11,0,132,-9,Severe
14,8,176,M,27,6,7,79,-97,Severe
16,2,194,M,6,5,5,65,-129,Severe
11,3,135,M,46,7,11,95,-40,Severe
7,11,95,M,100,13,3,159,64,Well
17,9,213,M,48,8,1,97,-116,Severe
8,3,99,F,49,8,2,98,-1,Mild
11,3,135,M,103,13,6,162,27,Well
10,8,128,M,54,8,7,103,-25,Severe
10,6,126,F,41,7,6,90,-36,Severe
12,11,155,F,102,13,6,162,7,Well
15,5,185,F,50,8,3,99,-86,Severe
18,10,226,M,99,13,1,157,-69,Severe
15,2,182,F,35,7,1,85,-97,Severe
12,7,151,F,99,13,1,157,6,Well
7,9,93,M,42,7,7,91,-2,Mild
8,7,103,M,63,9,6,114,11,Well
5,7,67,F,102,13,6,162,95,Well
8,1,97,F,72,10,4,124,27,Well
15,4,184,M,43,7,8,92,-92,Severe
15,10,190,M,48,8,1,97,-93,Severe
16,1,193,M,96,12,10,154,-39,Severe
7,6,90,M,43,7,8,92,2,Good
7,8,92,F,50,8,3,99,7,Well
18,5,221,F,80,11,3,135,-86,Severe
7,0,84,M,109,14,1,169,85,Well
16,9,201,F,95,12,9,153,-48,Severe
5,4,64,F,16,5,11,71,7,Well
8,1,97,M,20,6,2,74,-23,Severe
6,9,81,F,39,7,5,89,8,Well
9,11,119,F,11,5,8,68,-51,Severe
16,8,200,M,84,11,7,139,-61,Severe
